id,category,type,prompt,difficulty,keywords,length
102,에세이,비유/은유 연습,‘죽음’과(와) 꽃을(를) 대비시켜 대조적 은유로 350자 내외 글을 써라.,쉬움,"['죽음', '강물', '변화']",300
103,에세이,비유/은유 연습,‘별’을(를) 하늘에 비유해 300자 내외의 짧은 에세이를 작성하라.,쉬움,"['여행', '시간', '기억']",500
104,에세이,비유/은유 연습,‘청춘’을(를) 구름처럼 묘사하며 독자의 상상을 자극하는 글을 작성하라.,쉬움,"['시간', '불꽃', '계절']",350
105,에세이,비유/은유 연습,‘시간’을(를) 별빛에 비유해 300자 내외의 짧은 에세이를 작성하라.,쉬움,"['기억', '여행', '꿈']",450
106,에세이,비유/은유 연습,‘기억’을(를) 숲으로 은유하여 감정적이면서도 철학적인 에세이를 써라.,쉬움,"['시간', '바다', '꿈']",300
107,에세이,비유/은유 연습,모래시계을(를) 활용해 ‘평화’의 본질을 은유적으로 표현한 500자 에세이를 작성하라.,쉬움,"['죽음', '계절', '하늘']",350
108,에세이,비유/은유 연습,‘별’을(를) 구름으로 은유하여 감정적이면서도 철학적인 에세이를 써라.,중간,"['불꽃', '하늘', '변화']",450
109,에세이,비유/은유 연습,‘시간’을(를) 별빛에 빗대어 희망적인 메시지가 담긴 글을 400자 내외로 작성하라.,쉬움,"['시간', '희망', '고독']",400
110,에세이,비유/은유 연습,‘도시’을(를) 숲에 빗대어 희망적인 메시지가 담긴 글을 400자 내외로 작성하라.,어려움,"['고독', '기억', '우정']",400
111,에세이,비유/은유 연습,‘강물’을(를) 해와 달에 비유해 300자 내외의 짧은 에세이를 작성하라.,어려움,"['꿈', '희망', '죽음']",500
112,에세이,비유/은유 연습,‘죽음’과(와) 꽃을(를) 대비시켜 대조적 은유로 350자 내외 글을 써라.,중간,"['별', '바다', '꿈']",500
113,에세이,비유/은유 연습,‘도시’과(와) 별빛을(를) 대비시켜 대조적 은유로 350자 내외 글을 써라.,어려움,"['숲', '사랑', '변화']",500
114,에세이,비유/은유 연습,거울을(를) 통해 ‘희망’의 변화를 비유로 풀어낸 450자 글을 작성하라.,어려움,"['희망', '사랑', '자연']",450
115,에세이,비유/은유 연습,‘꿈’을(를) 해와 달에 비유해 300자 내외의 짧은 에세이를 작성하라.,어려움,"['고독', '꿈', '사랑']",350
116,에세이,비유/은유 연습,어둠을(를) 통해 ‘희망’의 변화를 비유로 풀어낸 450자 글을 작성하라.,쉬움,"['죽음', '시간', '변화']",450
117,에세이,비유/은유 연습,‘도시’을(를) 별빛에 비유해 300자 내외의 짧은 에세이를 작성하라.,쉬움,"['별', '희망', '바다']",500
118,에세이,비유/은유 연습,‘후회’을(를) 하늘에 비유해 300자 내외의 짧은 에세이를 작성하라.,중간,"['숲', '계절', '하늘']",350
119,에세이,비유/은유 연습,‘시간’을(를) 모래시계과(와) 연결해 삶의 의미를 탐구하는 짧은 글을 써라.,중간,"['하늘', '자연', '계절']",500
120,에세이,비유/은유 연습,‘청춘’을(를) 거울으로 은유하여 감정적이면서도 철학적인 에세이를 써라.,중간,"['강물', '꿈', '계절']",300
121,에세이,비유/은유 연습,사막을(를) 활용해 ‘자연’의 본질을 은유적으로 표현한 500자 에세이를 작성하라.,쉬움,"['별', '희망', '시간']",450
122,에세이,비유/은유 연습,‘기억’을(를) 거울으로 은유하여 감정적이면서도 철학적인 에세이를 써라.,어려움,"['숲', '하늘', '고독']",450
123,에세이,비유/은유 연습,‘기억’을(를) 불꽃에 빗대어 희망적인 메시지가 담긴 글을 400자 내외로 작성하라.,쉬움,"['죽음', '사랑', '기억']",450
124,에세이,비유/은유 연습,‘자연’을(를) 어둠에 비유해 300자 내외의 짧은 에세이를 작성하라.,어려움,"['강물', '희망', '불꽃']",350
125,에세이,비유/은유 연습,‘삶’을(를) 바람처럼 묘사하며 독자의 상상을 자극하는 글을 작성하라.,어려움,"['여행', '강물', '자연']",500
126,에세이,비유/은유 연습,‘우정’과(와) 거울을(를) 대비시켜 대조적 은유로 350자 내외 글을 써라.,쉬움,"['하늘', '불꽃', '고독']",300
127,에세이,비유/은유 연습,‘죽음’을(를) 계절에 빗대어 희망적인 메시지가 담긴 글을 400자 내외로 작성하라.,어려움,"['죽음', '희망', '숲']",500
128,에세이,비유/은유 연습,‘희망’을(를) 구름에 빗대어 희망적인 메시지가 담긴 글을 400자 내외로 작성하라.,쉬움,"['불꽃', '시간', '계절']",300
129,에세이,비유/은유 연습,‘기억’을(를) 파도에 비유해 300자 내외의 짧은 에세이를 작성하라.,쉬움,"['희망', '사랑', '여행']",450
130,에세이,비유/은유 연습,‘청춘’을(를) 꽃으로 은유하여 감정적이면서도 철학적인 에세이를 써라.,쉬움,"['자연', '기억', '죽음']",500
131,에세이,비유/은유 연습,‘변화’을(를) 강물에 빗대어 희망적인 메시지가 담긴 글을 400자 내외로 작성하라.,쉬움,"['죽음', '하늘', '불꽃']",400
132,에세이,비유/은유 연습,‘후회’을(를) 어둠에 빗대어 희망적인 메시지가 담긴 글을 400자 내외로 작성하라.,중간,"['숲', '불꽃', '철학']",450
133,에세이,비유/은유 연습,불꽃을(를) 통해 ‘죽음’의 변화를 비유로 풀어낸 450자 글을 작성하라.,어려움,"['시간', '불꽃', '자연']",500
134,에세이,비유/은유 연습,‘별’을(를) 계절에 비유해 300자 내외의 짧은 에세이를 작성하라.,중간,"['별', '숲', '강물']",400
135,에세이,비유/은유 연습,‘후회’을(를) 비으로 은유하여 감정적이면서도 철학적인 에세이를 써라.,중간,"['별', '자연', '기억']",450
136,에세이,비유/은유 연습,‘죽음’을(를) 나무에 빗대어 희망적인 메시지가 담긴 글을 400자 내외로 작성하라.,쉬움,"['폭풍', '꿈', '고독']",500
137,에세이,비유/은유 연습,‘사랑’을(를) 어둠처럼 묘사하며 독자의 상상을 자극하는 글을 작성하라.,중간,"['꿈', '변화', '죽음']",300
138,에세이,비유/은유 연습,해와 달을(를) 활용해 ‘가족’의 본질을 은유적으로 표현한 500자 에세이를 작성하라.,중간,"['숲', '변화', '죽음']",400
139,에세이,비유/은유 연습,‘별’을(를) 폭풍처럼 묘사하며 독자의 상상을 자극하는 글을 작성하라.,어려움,"['변화', '별', '하늘']",400
140,에세이,비유/은유 연습,하늘을(를) 활용해 ‘꿈’의 본질을 은유적으로 표현한 500자 에세이를 작성하라.,쉬움,"['불꽃', '별', '죽음']",500
141,에세이,비유/은유 연습,별빛을(를) 활용해 ‘삶’의 본질을 은유적으로 표현한 500자 에세이를 작성하라.,어려움,"['꿈', '자연', '계절']",300
142,에세이,비유/은유 연습,‘전쟁’을(를) 숲처럼 묘사하며 독자의 상상을 자극하는 글을 작성하라.,쉬움,"['기억', '시간', '철학']",450
143,에세이,비유/은유 연습,바다을(를) 활용해 ‘기억’의 본질을 은유적으로 표현한 500자 에세이를 작성하라.,어려움,"['별', '불꽃', '여행']",450
144,에세이,비유/은유 연습,‘고독’을(를) 불꽃에 비유해 300자 내외의 짧은 에세이를 작성하라.,중간,"['죽음', '숲', '변화']",500
145,에세이,비유/은유 연습,‘죽음’과(와) 바다을(를) 대비시켜 대조적 은유로 350자 내외 글을 써라.,중간,"['하늘', '우정', '계절']",300
146,에세이,비유/은유 연습,숲을(를) 통해 ‘전쟁’의 변화를 비유로 풀어낸 450자 글을 작성하라.,어려움,"['숲', '계절', '폭풍']",400
147,에세이,비유/은유 연습,‘희망’을(를) 모래시계처럼 묘사하며 독자의 상상을 자극하는 글을 작성하라.,중간,"['시간', '희망', '강물']",450
148,에세이,비유/은유 연습,‘평화’을(를) 강물과(와) 연결해 삶의 의미를 탐구하는 짧은 글을 써라.,중간,"['하늘', '불꽃', '강물']",350
149,에세이,비유/은유 연습,모래시계을(를) 활용해 ‘삶’의 본질을 은유적으로 표현한 500자 에세이를 작성하라.,어려움,"['자연', '희망', '여행']",300
150,에세이,비유/은유 연습,숲을(를) 통해 ‘자연’의 변화를 비유로 풀어낸 450자 글을 작성하라.,쉬움,"['여행', '기억', '죽음']",450
151,에세이,비유/은유 연습,계절을(를) 활용해 ‘기억’의 본질을 은유적으로 표현한 500자 에세이를 작성하라.,어려움,"['시간', '죽음', '우정']",400
152,에세이,비유/은유 연습,‘행복’을(를) 어둠처럼 묘사하며 독자의 상상을 자극하는 글을 작성하라.,어려움,"['희망', '숲', '여행']",450
153,에세이,비유/은유 연습,‘죽음’을(를) 나무에 빗대어 희망적인 메시지가 담긴 글을 400자 내외로 작성하라.,중간,"['기억', '사랑', '계절']",400
154,에세이,비유/은유 연습,‘기억’을(를) 나무처럼 묘사하며 독자의 상상을 자극하는 글을 작성하라.,어려움,"['기억', '사랑', '꿈']",500
155,에세이,비유/은유 연습,‘고독’을(를) 모래시계처럼 묘사하며 독자의 상상을 자극하는 글을 작성하라.,쉬움,"['우정', '시간', '폭풍']",400
156,에세이,비유/은유 연습,‘평화’을(를) 바람처럼 묘사하며 독자의 상상을 자극하는 글을 작성하라.,쉬움,"['희망', '기억', '하늘']",400
157,에세이,비유/은유 연습,‘자연’을(를) 바다처럼 묘사하며 독자의 상상을 자극하는 글을 작성하라.,어려움,"['계절', '자연', '우정']",450
158,에세이,비유/은유 연습,‘시간’과(와) 강물을(를) 대비시켜 대조적 은유로 350자 내외 글을 써라.,중간,"['죽음', '여행', '꿈']",500
159,에세이,비유/은유 연습,‘꿈’과(와) 숲을(를) 대비시켜 대조적 은유로 350자 내외 글을 써라.,쉬움,"['계절', '바다', '하늘']",500
160,에세이,비유/은유 연습,‘별’을(를) 강물으로 은유하여 감정적이면서도 철학적인 에세이를 써라.,중간,"['숲', '불꽃', '고독']",400
161,에세이,비유/은유 연습,‘행복’과(와) 강물을(를) 대비시켜 대조적 은유로 350자 내외 글을 써라.,쉬움,"['철학', '우정', '별']",400
162,에세이,비유/은유 연습,‘가족’을(를) 숲에 빗대어 희망적인 메시지가 담긴 글을 400자 내외로 작성하라.,쉬움,"['숲', '여행', '하늘']",350
163,에세이,비유/은유 연습,‘강물’을(를) 불꽃으로 은유하여 감정적이면서도 철학적인 에세이를 써라.,어려움,"['여행', '하늘', '계절']",400
164,에세이,비유/은유 연습,‘강물’을(를) 불꽃처럼 묘사하며 독자의 상상을 자극하는 글을 작성하라.,어려움,"['시간', '바다', '우정']",350
165,에세이,비유/은유 연습,‘행복’을(를) 비으로 은유하여 감정적이면서도 철학적인 에세이를 써라.,어려움,"['별', '변화', '여행']",300
166,에세이,비유/은유 연습,‘행복’을(를) 바다과(와) 연결해 삶의 의미를 탐구하는 짧은 글을 써라.,쉬움,"['고독', '사랑', '변화']",300
167,에세이,비유/은유 연습,‘자연’을(를) 계절에 비유해 300자 내외의 짧은 에세이를 작성하라.,쉬움,"['기억', '철학', '희망']",400
168,에세이,비유/은유 연습,해와 달을(를) 통해 ‘죽음’의 변화를 비유로 풀어낸 450자 글을 작성하라.,쉬움,"['우정', '하늘', '숲']",350
169,에세이,비유/은유 연습,비을(를) 통해 ‘강물’의 변화를 비유로 풀어낸 450자 글을 작성하라.,어려움,"['여행', '희망', '바다']",400
170,에세이,비유/은유 연습,‘평화’을(를) 어둠처럼 묘사하며 독자의 상상을 자극하는 글을 작성하라.,쉬움,"['우정', '변화', '고독']",300
171,에세이,비유/은유 연습,바람을(를) 통해 ‘시간’의 변화를 비유로 풀어낸 450자 글을 작성하라.,어려움,"['우정', '여행', '고독']",500
